"state","pop_2019"
"louisiana",4648794
"mississippi",2976149
"florida",21477737
"alabama",4903185
"north dakota",762062
"arizona",7278717
"south carolina",5148714
"iowa",3155070
"tennessee",6829174
"georgia",10617423
"arkansas",3017804
"texas",28995881
"south dakota",884659
"nevada",3080156
"nebraska",1934408
"idaho",1787065
"utah",3205958
"new york",19453561
"illinois",12671821
"wisconsin",5822434
"rhode island",1059361
"new jersey",8882190
"oklahoma",3956971
"missouri",6137428
"district of columbia",705749
"delaware",973764
"kansas",2913314
"maryland",6045680
"california",39512223
"north carolina",10488084
"massachusetts",6892503
"indiana",6732219
"minnesota",5639632
"virginia",8535519
"kentucky",4467673
"connecticut",3565287
"new mexico",2096829
"michigan",9986857
"montana",1068778
"ohio",11689100
"pennsylvania",12801989
"colorado",5758736
"alaska",731545
"washington",7614893
"wyoming",578759
"west virginia",1792147
"hawaii",1415872
"oregon",4217737
"new hampshire",1359711
"maine",1344212
"vermont",623989
